exID,pairID,responseID,ground_truth,response3,reported_difficulty
93,715,317,Non-mates,1,2
46,715,318,Non-mates,2,5
18,715,319,Non-mates,1,NA
48,715,320,Non-mates,1,4
98,715,321,Non-mates,1,NA
130,573,322,Non-mates,1,NA
31,573,323,Non-mates,2,NA
8,573,324,Non-mates,1,2
142,573,325,Non-mates,1,NA
41,573,326,Non-mates,1,NA
145,573,327,Non-mates,1,2
95,573,328,Non-mates,2,NA
123,573,329,Non-mates,1,NA
77,573,330,Non-mates,1,NA
130,40,331,Mates,3,NA
87,40,332,Mates,2,NA
113,40,333,Mates,3,NA
40,40,334,Mates,3,1
95,40,335,Mates,3,4
123,40,336,Mates,3,NA
1,40,337,Mates,2,NA
62,40,338,Mates,3,5
131,40,339,Mates,2,5
155,40,340,Mates,2,4
67,40,341,Mates,3,NA
92,40,342,Mates,3,5
13,40,343,Mates,2,4
160,40,344,Mates,3,NA
143,40,345,Mates,2,4
76,40,346,Mates,3,NA
49,40,347,Mates,3,5
106,590,348,Non-mates,1,NA
39,590,349,Non-mates,1,2
40,590,350,Non-mates,1,4
145,590,351,Non-mates,1,NA
146,590,352,Non-mates,1,NA
21,590,353,Non-mates,1,NA
150,590,354,Non-mates,1,NA
54,590,355,Non-mates,1,NA
152,590,356,Non-mates,1,2
28,590,357,Non-mates,1,1
104,590,358,Non-mates,1,NA
133,590,359,Non-mates,1,2
107,590,360,Non-mates,1,NA
154,590,361,Non-mates,1,NA
88,590,362,Non-mates,1,2
134,590,363,Non-mates,1,NA
156,590,364,Non-mates,1,1
35,590,365,Non-mates,1,NA
112,590,366,Non-mates,1,NA
162,590,367,Non-mates,1,NA
50,590,368,Non-mates,1,2
100,590,369,Non-mates,1,2
4,35,370,Mates,NA,NA
14,35,371,Mates,NA,NA
42,35,372,Mates,NA,NA
17,35,373,Mates,NA,NA
164,35,374,Mates,NA,NA
77,35,375,Mates,NA,NA
55,35,376,Mates,NA,NA
57,35,377,Mates,NA,NA
152,35,378,Mates,2,1
128,35,379,Mates,2,4
58,35,380,Mates,2,2
28,35,381,Mates,NA,NA
61,35,382,Mates,NA,NA
104,35,383,Mates,NA,NA
86,35,384,Mates,NA,NA
132,35,385,Mates,NA,NA
107,35,386,Mates,NA,NA
34,35,387,Mates,2,2
156,35,388,Mates,NA,NA
35,35,389,Mates,NA,NA
157,35,390,Mates,2,2
68,35,391,Mates,2,NA
70,35,392,Mates,NA,NA
43,35,393,Mates,2,2
121,35,394,Mates,2,NA
147,35,395,Mates,2,2
167,35,396,Mates,NA,NA
130,533,397,Non-mates,2,NA
39,533,398,Non-mates,1,4
142,533,399,Non-mates,NA,NA
145,533,400,Non-mates,1,NA
146,533,401,Non-mates,2,2
21,533,402,Non-mates,2,2
51,533,403,Non-mates,2,NA
1,533,404,Non-mates,NA,NA
24,533,405,Non-mates,1,NA
