exID,pairID,responseID,ground_truth,response3,response5
24,11,663,Nonmated,1,1
24,20,664,Mated,3,5
24,22,665,Mated,2,3
24,16,666,Mated,3,5
24,32,667,Mated,3,5
24,7,668,Nonmated,2,3
24,2,669,Mated,2,3
24,42,670,Mated,3,5
24,53,671,Nonmated,2,3
24,55,672,Nonmated,1,1
24,52,673,Mated,3,5
24,4,674,Mated,3,5
34,48,675,Mated,2,2
24,28,676,Mated,2,4
24,57,677,Nonmated,1,1
24,35,678,Nonmated,1,1
34,33,679,Nonmated,1,1
24,36,680,Mated,3,5
24,23,681,Nonmated,2,3
24,18,682,Mated,3,5
34,19,683,Nonmated,1,1
24,26,684,Mated,2,3
34,43,685,Nonmated,1,1
24,1,686,Nonmated,1,1
24,9,687,Nonmated,1,1
24,51,688,Nonmated,1,1
24,10,689,Mated,2,3
24,46,690,Mated,2,3
24,8,691,Mated,3,5
24,13,692,Nonmated,2,3
24,58,693,Mated,3,5
24,45,694,Nonmated,2,3
20,7,695,Nonmated,2,3
20,3,696,Nonmated,2,3
20,33,697,Nonmated,2,3
20,30,698,Mated,3,5
24,14,699,Mated,3,5
24,44,700,Mated,2,4
24,50,701,Mated,2,3
20,32,702,Mated,3,5
24,12,703,Mated,3,5
20,55,704,Nonmated,1,1
24,3,705,Nonmated,1,1
20,36,706,Mated,3,5
24,34,707,Mated,2,3
24,59,708,Nonmated,1,1
24,24,709,Mated,2,3
24,37,710,Nonmated,2,3
24,21,711,Nonmated,2,3
20,60,712,Mated,3,5
24,47,713,Nonmated,2,2
20,46,714,Mated,2,4
20,53,715,Nonmated,2,3
20,22,716,Mated,2,3
20,23,717,Nonmated,2,2
20,39,718,Nonmated,2,3
20,44,719,Mated,2,4
20,28,720,Mated,3,5
33,13,721,Nonmated,2,3
33,39,722,Nonmated,2,3
33,21,723,Nonmated,2,3
24,40,724,Mated,3,5
33,45,725,Nonmated,2,3
33,3,726,Nonmated,2,2
33,41,727,Nonmated,1,1
24,31,728,Nonmated,2,2
24,5,729,Nonmated,1,1
24,43,730,Nonmated,1,1
24,48,731,Mated,2,3
24,6,732,Mated,2,3
24,49,733,Nonmated,2,3
24,54,734,Mated,3,5
24,25,735,Nonmated,2,3
24,27,736,Nonmated,2,3
24,38,737,Mated,2,3
24,60,738,Mated,2,4
24,33,739,Nonmated,2,3
24,19,740,Nonmated,2,2
24,15,741,Nonmated,2,3
24,30,742,Mated,3,5
24,56,743,Mated,2,3
24,39,744,Nonmated,2,3
24,29,745,Nonmated,1,1
7,6,746,Mated,2,4
32,4,747,Mated,2,4
32,17,748,Nonmated,1,1
32,54,749,Mated,2,3
32,23,750,Nonmated,2,3
32,52,751,Mated,2,3
32,19,752,Nonmated,2,3
32,55,753,Nonmated,1,1
32,26,754,Mated,2,3
32,53,755,Nonmated,2,3
32,11,756,Nonmated,1,1
33,11,757,Nonmated,1,1
33,36,758,Mated,3,5
33,42,759,Mated,3,5
33,60,760,Mated,2,3
33,2,761,Mated,2,3
33,8,762,Mated,3,5
33,38,763,Mated,2,3
33,52,764,Mated,3,5
33,16,765,Mated,3,5
34,13,766,Nonmated,2,2
34,1,767,Nonmated,1,1
34,57,768,Nonmated,1,1
34,30,769,Mated,3,5
34,26,770,Mated,2,3
34,20,771,Mated,3,5
34,8,772,Mated,3,5
34,36,773,Mated,3,5
34,24,774,Mated,2,4
34,15,775,Nonmated,2,3
32,13,776,Nonmated,2,3
32,58,777,Mated,3,5
32,25,778,Nonmated,2,3
32,59,779,Nonmated,2,2
32,36,780,Mated,2,4
32,49,781,Nonmated,2,3
32,39,782,Nonmated,2,3
32,39,783,Nonmated,2,3
32,21,784,Nonmated,2,3
32,42,785,Mated,2,3
19,19,786,Nonmated,2,3
19,39,787,Nonmated,2,3
19,3,788,Nonmated,1,1
19,51,789,Nonmated,1,1
19,15,790,Nonmated,2,3
19,54,791,Mated,3,5
19,12,792,Mated,2,3
19,37,793,Nonmated,2,3
19,53,794,Nonmated,1,1
31,35,795,Nonmated,1,1
31,7,796,Nonmated,2,3
32,7,797,Nonmated,2,3
32,57,798,Nonmated,1,1
32,10,799,Mated,2,2
32,31,800,Nonmated,2,3
32,40,801,Mated,2,3
32,12,802,Mated,2,3
32,3,803,Nonmated,2,2
32,15,804,Nonmated,2,3
32,6,805,Mated,2,3
32,14,806,Mated,2,4
32,56,807,Mated,1,1
16,58,808,Mated,3,5
16,26,809,Mated,3,5
16,32,810,Mated,3,5
16,59,811,Nonmated,2,2
16,15,812,Nonmated,2,3
16,38,813,Mated,2,2
19,13,814,Nonmated,2,3
19,5,815,Nonmated,1,1
19,46,816,Mated,2,4
19,8,817,Mated,3,5
19,55,818,Nonmated,1,1
19,20,819,Mated,3,5
19,18,820,Mated,3,5
27,37,821,Nonmated,2,3
27,33,822,Nonmated,2,3
27,53,823,Nonmated,1,1
27,45,824,Nonmated,2,3
27,43,825,Nonmated,1,1
27,4,826,Mated,3,5
27,49,827,Nonmated,2,3
27,17,828,Nonmated,2,3
27,27,829,Nonmated,2,3
27,13,830,Nonmated,2,3
27,19,831,Nonmated,2,3
27,24,832,Mated,2,3
27,3,833,Nonmated,2,3
27,23,834,Nonmated,2,3
27,47,835,Nonmated,1,1
27,36,836,Mated,3,5
27,51,837,Nonmated,1,1
27,52,838,Mated,3,5
35,53,839,Nonmated,1,1
27,9,840,Nonmated,2,3
27,56,841,Mated,2,3
27,21,842,Nonmated,2,3
27,8,843,Mated,3,5
27,58,844,Mated,1,1
27,60,845,Mated,2,3
27,55,846,Nonmated,1,1
35,45,847,Nonmated,1,1
35,17,848,Nonmated,1,1
35,38,849,Mated,1,1
35,59,850,Nonmated,1,1
20,38,851,Mated,2,3
20,18,852,Mated,3,5
20,35,853,Nonmated,1,1
20,1,854,Nonmated,1,1
20,41,855,Nonmated,2,3
35,27,856,Nonmated,2,3
20,11,857,Nonmated,1,1
35,44,858,Mated,2,3
20,15,859,Nonmated,2,3
35,5,860,Nonmated,1,1
35,39,861,Nonmated,2,3
35,16,862,Mated,2,4
35,8,863,Mated,2,4
35,26,864,Mated,2,3
35,49,865,Nonmated,2,3
35,3,866,Nonmated,2,2
35,43,867,Nonmated,1,1
35,60,868,Mated,2,3
35,32,869,Mated,2,2
35,42,870,Mated,3,5
20,26,871,Mated,3,5
20,19,872,Nonmated,2,3
20,42,873,Mated,3,5
20,20,874,Mated,3,5
20,24,875,Mated,2,3
5,27,876,Nonmated,2,3
5,12,877,Mated,2,2
5,52,878,Mated,2,4
5,59,879,Nonmated,2,2
5,42,880,Mated,3,5
5,19,881,Nonmated,2,3
5,11,882,Nonmated,1,1
5,17,883,Nonmated,1,1
5,3,884,Nonmated,1,1
5,10,885,Mated,2,3
5,39,886,Nonmated,2,3
5,49,887,Nonmated,2,2
5,16,888,Mated,3,5
5,14,889,Mated,1,1
5,21,890,Nonmated,1,1
5,53,891,Nonmated,2,2
5,46,892,Mated,2,3
32,20,893,Mated,3,5
32,28,894,Mated,2,3
32,1,895,Nonmated,2,3
32,51,896,Nonmated,1,1
32,60,897,Mated,2,3
32,2,898,Mated,2,3
32,46,899,Mated,2,4
32,24,900,Mated,2,3
32,44,901,Mated,2,3
32,32,902,Mated,2,3
19,57,903,Nonmated,1,1
19,17,904,Nonmated,2,3
19,34,905,Mated,2,3
19,23,906,Nonmated,2,2
19,28,907,Mated,3,5
19,27,908,Nonmated,2,3
19,16,909,Mated,3,5
19,36,910,Mated,3,5
19,32,911,Mated,3,5
19,33,912,Nonmated,2,3
19,1,913,Nonmated,2,2
5,35,914,Nonmated,1,1
5,5,915,Nonmated,1,1
5,6,916,Mated,2,3
20,5,917,Nonmated,1,1
20,40,918,Mated,2,3
20,47,919,Nonmated,2,3
20,57,920,Nonmated,1,1
20,14,921,Mated,3,5
20,59,922,Nonmated,1,1
20,58,923,Mated,3,5
20,56,924,Mated,2,3
20,50,925,Mated,2,3
20,12,926,Mated,2,3
20,54,927,Mated,3,5
20,25,928,Nonmated,2,3
20,43,929,Nonmated,1,1
20,29,930,Nonmated,1,1
20,2,931,Mated,2,3
20,4,932,Mated,3,5
20,16,933,Mated,3,5
21,15,934,Nonmated,2,3
21,45,935,Nonmated,2,3
21,38,936,Mated,2,3
16,37,937,Nonmated,1,1
16,4,938,Mated,3,5
21,17,939,Nonmated,1,1
21,42,940,Mated,3,5
16,7,941,Nonmated,2,3
21,8,942,Mated,3,5
21,52,943,Mated,3,5
16,24,944,Mated,2,3
21,34,945,Mated,2,3
16,3,946,Nonmated,2,2
21,6,947,Mated,2,3
16,8,948,Mated,3,5
16,36,949,Mated,3,5
16,49,950,Nonmated,2,3
21,36,951,Mated,3,5
21,26,952,Mated,2,3
21,43,953,Nonmated,1,1
21,27,954,Nonmated,2,3
21,7,955,Nonmated,1,1
21,58,956,Mated,3,5
5,33,957,Nonmated,2,3
5,34,958,Mated,3,5
5,13,959,Nonmated,2,3
5,22,960,Mated,2,3
5,55,961,Nonmated,1,1
5,30,962,Mated,3,5
5,47,963,Nonmated,2,3
5,56,964,Mated,2,3
21,41,965,Nonmated,1,1
21,18,966,Mated,3,5
21,11,967,Nonmated,1,1
21,50,968,Mated,2,3
21,59,969,Nonmated,1,1
21,22,970,Mated,2,2
21,39,971,Nonmated,2,3
21,48,972,Mated,2,3
21,23,973,Nonmated,2,2
21,13,974,Nonmated,1,1
21,37,975,Nonmated,1,1
21,10,976,Mated,2,3
21,55,977,Nonmated,1,1
21,31,978,Nonmated,1,1
21,4,979,Mated,3,5
21,57,980,Nonmated,1,1
21,21,981,Nonmated,1,1
21,19,982,Nonmated,1,1
21,32,983,Mated,3,5
20,21,984,Nonmated,2,3
20,45,985,Nonmated,2,2
13,48,986,Mated,2,3
13,39,987,Nonmated,2,3
13,55,988,Nonmated,1,1
13,52,989,Mated,3,5
13,53,990,Nonmated,1,1
13,24,991,Mated,2,3
13,6,992,Mated,3,5
22,31,993,Nonmated,1,1
22,26,994,Mated,3,5
22,57,995,Nonmated,1,1
22,38,996,Mated,2,3
22,23,997,Nonmated,1,1
22,36,998,Mated,3,5
