n_items,rep,time,theta_coverage,beta_coverage,n_participants,simulation,model,theta_correlation,beta_correlation,condition
600,6,695.1148490905762,0.97,0.9566,100,Both skewed,Both normal,0.9857993780271698,0.9302621427668124,Both skewed
600,7,674.0342180728912,0.92,0.9524,100,Both skewed,Both normal,0.9825813269442222,0.9299534905314896,Both skewed
600,8,716.6564869880676,0.99,0.9492,100,Both skewed,Both normal,0.9892358439155696,0.9243496648702992,Both skewed
600,9,728.710550069809,0.99,0.9409,100,Both skewed,Both normal,0.9890301072543756,0.9132820300664652,Both skewed
600,10,708.0735731124878,0.97,0.9456,100,Both skewed,Both normal,0.9876685558338631,0.931637582443747,Both skewed
300,1,711.02783203125,0.99,0.9149,100,Both skewed,Both normal,0.9879828306358928,0.943682911697031,Both skewed
300,2,662.6045570373535,0.99,0.9562,100,Both skewed,Both normal,0.985135162610718,0.9608013551231194,Both skewed
300,3,652.1614987850189,0.97,0.9577,100,Both skewed,Both normal,0.9820180757368132,0.9642140570401596,Both skewed
300,4,676.4547109603882,0.96,0.9404,100,Both skewed,Both normal,0.9839944852111668,0.953591485936398,Both skewed
300,5,657.235631942749,0.92,0.9692,100,Both skewed,Both normal,0.9791977437211772,0.958874451584047,Both skewed
300,6,643.4907450675964,0.9,0.9618,100,Both skewed,Both normal,0.9834340207964876,0.9661802894609658,Both skewed
300,7,661.3749308586121,0.98,0.9433,100,Both skewed,Both normal,0.9850659715928866,0.9620709583821604,Both skewed
300,8,668.3755419254303,0.97,0.9677,100,Both skewed,Both normal,0.9856892636103236,0.963452640498742,Both skewed
300,9,675.0546419620514,0.96,0.9385,100,Both skewed,Both normal,0.9859868323086628,0.95664275552623,Both skewed
300,10,658.1468358039856,0.98,0.9669,100,Both skewed,Both normal,0.9868406091058266,0.956140137787687,Both skewed
20,1,137.9184238910675,0.95,1,100,Mixture,Mixed normal/skew,0.93810201670074,0.9785501534485876,Mixture
20,2,169.61954188346863,0.96,1,100,Mixture,Mixed normal/skew,0.9485042497517748,0.9924475038662056,Mixture
20,3,162.69551301002502,0.97,0.95,100,Mixture,Mixed normal/skew,0.9493571002053364,0.984373856900178,Mixture
20,4,165.83370208740234,0.95,1,100,Mixture,Mixed normal/skew,0.9480584560759874,0.9885327248258842,Mixture
20,5,164.84158205986023,0.97,1,100,Mixture,Mixed normal/skew,0.9598403796222472,0.9872103733281404,Mixture
20,6,159.6696419715881,0.95,1,100,Mixture,Mixed normal/skew,0.9299731521735216,0.9899161729943728,Mixture
20,7,187.43569993972775,0.94,0.85,100,Mixture,Mixed normal/skew,0.944359067999446,0.990555147030816,Mixture
20,8,144.01419019699097,0.92,0.95,100,Mixture,Mixed normal/skew,0.9207038088713688,0.9799178107375554,Mixture
